DATA,Precipitacao,P_atm,Temp_ar,Umid_ar,Populacao,Veiculos,PTS,MP10,O3
1/2003,,,,,556254,71723,,,
2/2003,,,,,557012,74999,,,
3/2003,282,917.2,22.6,76.4,557768,78263,68.76,33.26,
4/2003,141,917.8,23,69,558524,81514,83.63,39.19,
5/2003,0.05,919.1,20.1,59.6,559279,84753,84.33,39.4,
6/2003,0,919.5,21.1,53.6,560033,87979,121.72,62.15,
7/2003,2,921.1,20.6,48.1,560786,91192,74.98,44.8,
8/2003,4,919.7,21.4,48.5,561539,94393,133.93,55.69,
9/2003,66,918.3,23.8,48.4,562290,97582,115.99,54.93,
10/2003,0,916.7,26.1,43.2,563041,100758,80.16,47.75,
11/2003,,,,,563791,103921,84.37,51.7,
12/2003,229,915.8,24.7,64.7,564540,107072,52.85,48.1,
1/2004,316,914.3,23.3,79.3,565289,110210,63.23,47.77,
2/2004,578,915.4,22.1,82.5,566036,113336,95.27,,
3/2004,219,915.6,23.2,71,566783,116450,71.38,31.37,
4/2004,0,916.8,24.3,59.7,567529,119550,117.67,56.89,
5/2004,,,,,568274,122639,55.08,39,
6/2004,,,,,569018,125714,81.39,52.44,
7/2004,,,,,569761,128777,67.07,57.3,
8/2004,,,,,570504,131828,90.61,91.97,
9/2004,,,,,571245,134866,107.59,56,
10/2004,,,,,571986,137892,104.57,58.36,
11/2004,107,914,26.9,56.5,572726,140905,177.97,49.48,
12/2004,359,914.6,24.7,68.7,573465,143905,108.68,45.38,
1/2005,478,914.1,23.4,76.2,574204,146893,74.01,45.71,
2/2005,126,914.6,24.4,62.2,574941,149869,63.55,39.43,
3/2005,289,915.6,23.6,73.6,575678,152832,43,32.19,
4/2005,,,,,576414,155782,42.8,53.71,
5/2005,14,921.2,19.9,67.5,577149,158720,57,68.24,
6/2005,63,920.2,20.1,62.5,577883,161645,61.13,44.89,
7/2005,0,921.4,19.8,58.5,578617,164558,123.09,55.51,
8/2005,21,919.9,21.8,44.4,579349,167458,110.09,76.61,
9/2005,47,917.9,23.8,53.2,580081,170346,69.99,59.03,
10/2005,64,916,25.9,48.6,580812,173221,89.34,46.62,
11/2005,311,913.6,22.7,73.6,581542,176084,57.59,49.79,
12/2005,303,914.3,22.2,75.7,582271,178934,87.8,43.79,
1/2006,274,915.9,23.9,63.6,583000,181771,68.86,26.24,
2/2006,175,915,23.8,70.2,583727,184597,0,35.69,
3/2006,219,915.5,23.2,75.4,584454,187409,73.15,47.53,
4/2006,28,916.2,22.7,69.2,585180,190209,,35.16,
5/2006,1,918.9,20.4,56.9,585905,192997,163.55,59.81,
6/2006,1,920.5,19.8,56.1,586630,195772,78.49,83,
7/2006,0,920.7,20.6,49.2,587353,198534,92.28,54.37,
8/2006,1,919.1,22.8,44.4,588076,201284,89.5,61.54,
9/2006,125,918.1,22.6,51,588798,204021,84.23,61.44,
10/2006,359,916.2,22.5,72.3,589519,206746,62.05,35.79,
11/2006,256,914.6,23.1,67.5,590239,209458,58.77,36.34,
12/2006,698,915.2,22.9,77.3,590958,212158,56.17,29.4,
1/2007,574,915.6,22.9,78,591677,214845,52.86,32.22,
2/2007,341,915.4,23.4,73.3,592394,217520,55.62,25.89,
3/2007,77,917.1,24.5,60.3,593111,220182,59.52,30.02,
4/2007,51,917.2,24,61,593827,222832,63.82,35.48,
5/2007,7,918.4,21.3,57.2,594543,225469,73.55,47.28,
6/2007,0.04,920.2,20.4,53.2,595257,228093,108.15,54.55,
7/2007,39,919.6,20.6,51.6,595970,230706,139.25,57.25,
8/2007,0,920,21.5,42,596683,233305,151.69,62.33,
9/2007,21,919.1,24.6,36.4,597395,235892,154.64,74.09,
10/2007,169,916.4,25.1,47.6,598106,238466,150.92,75.52,
11/2007,206,914.3,23.9,65.2,598816,241028,5.29,48.67,
12/2007,0.46,914.5,23.4,67.7,599526,243578,67.31,24.68,
1/2008,331,915.1,23.2,69.9,600234,246115,50.27,57.36,
2/2008,0.37,915.4,22.6,75,600942,248639,68.56,42.73,
3/2008,377,914.3,23.4,72.2,601649,251151,58.85,38.22,
4/2008,227,915.8,21.5,69.3,602355,253650,64.65,37.48,
5/2008,131,918.1,20.7,61,603061,256137,85.4,47.84,
6/2008,7,919.4,20.9,60.3,603765,258611,79.76,49.86,
7/2008,0,921.1,20.2,44.2,604469,261073,89.63,35.65,
8/2008,0,918.3,22.9,40.5,605171,263522,100.84,53.65,
9/2008,27,917.4,23.5,46,605873,265958,,49.75,
10/2008,152,916.9,24.7,54.2,606575,268382,,38.55,
11/2008,112,914.5,24.2,66.5,607275,270794,77.78,39.46,
12/2008,0.3,913.8,23.7,70.6,607974,273193,146.06,,
1/2009,312,915.3,23.3,75.5,608673,275580,,,
2/2009,239,915.4,23.9,74.1,609371,277953,,15.91,
3/2009,0.18,915.3,24.2,71.5,610068,280315,,22.21,
4/2009,116,916.4,22.9,69.3,610764,282664,,52.99,
5/2009,79,918,21.6,65.6,611459,285000,,25.33,
6/2009,0.04,919.4,19.7,64.5,612154,287324,,29.03,
7/2009,13,919.3,21.5,57.2,612848,289635,,36.38,
8/2009,45,918.9,22.2,51.1,613541,291934,,30.95,
9/2009,0.15,917.7,23.7,59.7,614233,294220,,,
10/2009,116,915.5,24.2,67.4,614924,296494,,21.34,
11/2009,224,914.3,24.9,66.8,615614,298755,,17.58,
12/2009,0.43,915,23.1,76.8,616304,301004,,29.19,
1/2010,269,915.5,24.1,72.2,616993,303240,,16.86,
2/2010,205,916.1,25.1,64.6,617680,305464,,21.57,
3/2010,224,915,24.2,71.6,618368,307675,,26.2,
4/2010,151,917.1,22.9,63.5,619054,309873,,24.91,
5/2010,29,917.4,22.2,56.3,619739,312059,,28.11,
6/2010,18,920.2,20.2,55.3,620424,314233,,,
7/2010,2,920.7,21.3,49.6,621108,316394,,,
8/2010,0,920.2,21.9,38,621791,318542,,,
9/2010,0,917.8,25.4,34.9,622473,320678,,,
10/2010,175,915.1,23.9,62.5,623154,322801,,,
11/2010,385,913.8,23.3,68.9,623834,324912,,,
12/2010,0.31,913,24.6,69.6,624514,327010,,,
1/2011,352,912.9,23.3,76.9,625193,329096,,83.3,
2/2011,232,915.7,24.6,66.7,625871,331169,,34.16,
3/2011,584,914.1,22.6,80.9,626548,333230,,36.08,
4/2011,183,916.7,23.9,65.5,627224,335278,,48.49,
5/2011,0.07,918.1,21.3,63.2,627900,337314,,87.19,
6/2011,26,918.9,20.3,57.3,628575,339337,,72.36,
7/2011,1,919.6,20.6,53.2,629248,341347,,103.2,
8/2011,1,918.4,22.9,41.8,629921,343345,,139.97,
9/2011,6,918.7,24.5,37.1,630594,345331,,69.54,
10/2011,105,915.7,23.3,63,631265,347304,,47.02,
11/2011,203,914.9,23.4,62.5,631935,349264,,24.97,
12/2011,366,914,23.3,72.8,632605,351212,,31.45,
1/2012,401,915.5,22.2,78.8,633274,353147,,43.27,
2/2012,255,915.7,24,66.9,633942,355070,,51.71,
3/2012,262,916,24.3,65.7,634609,356981,,39.93,
4/2012,162,916.8,23.6,69.1,635276,358878,,39.93,
5/2012,121,918.4,20.5,69.9,635941,360764,,46,
6/2012,77,919.2,21.6,66.5,636606,362636,,52.07,
7/2012,26,920,20.3,55.4,637270,364497,101.91,26.79,
8/2012,0,921.5,21.3,46.4,637933,366344,111.25,42.88,
9/2012,43,918.7,25.2,39.7,638595,368179,117.47,85.33,
10/2012,97,916.5,24.8,49.2,639257,370002,0,101.09,
11/2012,326,914,24.8,64.6,639917,371812,90.21,12.67,
12/2012,266,914.5,25.3,67,640577,373610,72.95,,
1/2013,304,915.2,23.8,73.3,641236,375395,42.32,43.27,
2/2013,479,915.8,23.9,72.7,641894,377167,87.72,51.71,
3/2013,261,916,24.1,73.2,642552,378927,71.06,39.93,
4/2013,201,917.5,22.4,72.4,643208,380674,69.32,51.21,
5/2013,0,918.6,21.9,59.4,643864,382409,70.1,40.92,
6/2013,0.23,919,21,69.2,644518,384132,56.22,39.96,
7/2013,1,919.9,20.6,58.4,645172,385841,80.45,56.43,
8/2013,9,919.5,21.8,41.9,645826,387539,98.27,42.83,
9/2013,13,918.7,22.9,47.7,646478,389223,82.98,85.33,
10/2013,179,916.9,23.5,57.3,647129,390896,63.86,65.2,
11/2013,181,915.1,24.3,63.8,647780,392555,66.06,33.88,
12/2013,518,913,23.7,75.4,648430,394202,55.04,31.45,
1/2014,151,916.5,24.8,64.6,649079,395837,87.95,79.76,
2/2014,185,916.4,24.9,57.3,649727,397459,28.09,35.99,
3/2014,73,916.3,24.2,68.4,650375,399069,120.2,53.62,
4/2014,252,917.1,23.6,74.2,651021,400666,161.76,39.62,
5/2014,18,918.1,22,56.7,651667,402250,245.38,37.54,
6/2014,3,919.5,20.9,58.6,652312,403822,230.65,30.06,
7/2014,41,920.9,20.9,51.5,652956,405382,273.96,34.28,
8/2014,65,920.9,21.6,47.6,653599,406929,373.29,53,
9/2014,15,917.8,24.8,41.9,654241,408463,292.86,146.42,
10/2014,48,917.2,26.3,40.6,654883,409985,313.95,25.56,
11/2014,345,915.1,24.1,65.1,655524,411494,279.23,42.75,
12/2014,379,915.5,22.5,79.7,656164,412991,192.41,31.45,
1/2015,0.11,916.9,26.7,50.5,656803,414475,105.26,79.76,
2/2015,337,916.3,24,70.2,657441,415947,80.52,66.22,
3/2015,389,916.4,22.9,78.1,658079,417406,72.04,41.25,
4/2015,215,917.1,23.7,74.8,658715,418853,76.12,43.17,
5/2015,84,918.9,21.4,71.8,659351,420287,107.73,23.46,
6/2015,38,919.9,21.5,64.1,659986,421709,89.88,34.28,
7/2015,11,920.9,20.8,59.6,660620,423118,83.57,53,
8/2015,0,919.8,22.8,40.7,661253,424514,130.79,112.3,
9/2015,54,917.5,25.4,44,661886,425898,149.21,104.75,
10/2015,65,916.2,28,40.2,662517,427270,171.3,87.34,
11/2015,0.42,915.1,25.3,67.4,663148,428629,83.38,57.85,
12/2015,287,916.4,24.8,68.8,663778,429975,75.62,87.05,
1/2016,638,914.7,23.6,81.5,664407,431309,,59.76,
2/2016,204,916.8,25.1,68.6,665036,432630,,80.36,
3/2016,305,917.4,24.6,70.4,665663,433939,80.02,59.01,
4/2016,95,918.1,25.6,55.1,666290,435235,51.4,66.07,
5/2016,0.05,918.8,22.4,59.7,666916,436519,61,50.21,
6/2016,95,920.1,20.7,60.1,667541,437790,57.36,34.28,
7/2016,0,920.8,21.3,46,668165,439049,73.95,50.89,
8/2016,61,919.4,22.6,45.2,668788,440295,79.55,107.18,
9/2016,6,918.4,24.8,41.8,669411,441529,97.57,110.52,
10/2016,199,915.9,25.2,51.5,670033,442750,60.77,70.68,
11/2016,285,915,23.4,67.4,670654,443959,50.21,57.85,
12/2016,416,915.6,24,71.7,671274,445155,45.76,70.24,
1/2017,289,915.8,24.2,71.3,671893,446338,44.39,47.06,
2/2017,265,916.4,24.6,67,672511,447509,44.81,48.59,
3/2017,288,916.3,24.4,67.9,673129,448668,58.89,34.88,
4/2017,72,916.8,24,64.1,673746,449813,50.03,49.22,
5/2017,104,917.9,22.7,67.1,674362,450947,72.35,42.93,
6/2017,0,919.8,21.5,58.2,674977,452068,43.8,74.17,
7/2017,0,922.9,19.1,51.3,675591,453176,66.1,85.56,
8/2017,0,920.1,21.8,44.6,676204,454272,59.34,81.45,
9/2017,0,919.8,24.5,30.9,676817,455355,71.71,68.1,
10/2017,104,916.5,25.7,42.5,677429,456426,80.65,61.94,77.24
11/2017,404,914.3,23.8,66.5,678040,457484,55.71,61.11,60.62
12/2017,315,914.6,23.6,74.2,678650,458530,18.37,58.91,31.34
1/2018,321,916.1,24.5,66.1,679259,459563,25.32,,
2/2018,254,914.4,24,72.7,679868,460583,,,
3/2018,179,915.3,24.8,71.2,680475,461592,,,
4/2018,113,917.6,23.2,65.9,681082,462587,,,
5/2018,45,919.1,22.2,57.1,681688,463570,,,
6/2018,0,920.8,21.5,56.8,682293,464541,,,
7/2018,0,920.2,21.6,44.8,682898,465499,,,
8/2018,14,919.7,22.4,43.3,683501,466444,,,
9/2018,51,917.8,23.2,48.2,684104,467377,,,
10/2018,193,915.5,25.6,56.5,684706,468297,,,
11/2018,438,915.4,23.3,75.1,685307,469205,,,
12/2018,562,916.3,24.4,64.5,685907,470100,,,
1/2019,203,917,25.1,63.7,686506,470983,,,
2/2019,275,916.3,25,64.6,687105,471853,,,
3/2019,202,916.7,24.2,71.2,687703,472711,,,
4/2019,88,917,24.3,65.6,688300,473556,,,
5/2019,88,918,23.5,64,688896,474389,,,
6/2019,0,920.4,21.6,53.8,689491,475209,,,
7/2019,0,920.1,20.6,48.7,690085,476017,,,
8/2019,9,921.3,22.4,45.2,690679,476812,,,
9/2019,0,918.3,26.7,32.4,691272,477594,,,77.11
10/2019,124,916.3,25.8,48.7,691864,478364,,,75.14
11/2019,175,915,25.3,58.9,692455,479122,,,62.49
12/2019,644,915.2,23.7,73.4,693045,479867,,,
1/2020,386,915,24.8,69.5,693635,480599,,,56.76
2/2020,393,915.7,23.9,74.7,694223,481319,,,
3/2020,361,916.3,24,69.5,694811,482026,,,
4/2020,86,917.2,23.6,66.8,695398,482721,,,36.13
5/2020,0,919.5,21.7,60.4,695984,483403,,,49.52
6/2020,0,920.3,20.2,59.7,696569,484073,88.09,,48.52
7/2020,0,919.3,21.2,50.8,697154,484730,74.19,30.49,42.16
8/2020,0,920.2,22.1,44.4,697738,485375,80.18,26.64,50.7
9/2020,0,918.3,25.1,32.6,698320,486007,,28.8,61.13
10/2020,75,916.5,27,43.3,698902,486627,,30.07,71.46
11/2020,175,914.3,24.1,60.7,699484,487234,,15.64,62.39
12/2020,691,916.1,24.5,64.3,700064,487828,,12.86,48.81
1/2021,307,915.3,24,70.2,700643,488410,54.17,17.14,42.93
2/2021,221,914.8,24.5,64.3,701222,488980,39.61,11.17,34.69
3/2021,375,915.8,23.5,70.1,701800,489537,49.19,14.74,35.13
4/2021,59,916.9,24.2,55.9,702377,490081,63.34,22.02,58.79
5/2021,,,,,702953,490613,,,
6/2021,,,,,703529,491133,,,
7/2021,,,,,704103,491639,,,
8/2021,,,,,704677,492134,,,
9/2021,,,,,705250,492615,,,
10/2021,,,,,705822,493085,,,
11/2021,,,,,706393,493541,,,
12/2021,,,,,706964,493986,,,
